"t","S","N"
681,710376.1454315598,10
682,710518.3024991347,9
683,710601.5547044547,8
684,710698.1586785526,9
685,710805.7582269382,9
686,710928.2803404281,10
687,710995.8245824802,8
688,711076.7205933103,9
689,711157.6166041401,9
690,711253.4351800747,10
691,711365.7471174404,11
692,711496.1232125645,12
693,711637.4948819762,12
694,711798.5015054725,13
695,711980.7138793807,14
696,712170.780234923,14
697,712357.7049978115,14
698,712533.6341864123,12
699,712671.078865007,9
700,712823.446108706,10
701,712992.3067138365,11
702,713170.5920969278,11
703,713359.8730543064,11
704,713567.2181694434,12
705,713705.4482462015,10
706,713860.1716843909,11
707,714032.9592803383,12
708,714158.622986482,10
709,714300.7800540569,11
710,714461.0012793898,12
711,714640.8574588079,13
712,714823.8552308797,13
713,715014.7069845853,13
714,715200.8463493104,13
715,715350.8573985193,13
716,715513.4348183427,13
717,715685.4370161267,13
718,715876.2887698322,13
719,716003.5232723029,10
720,716133.8993674268,10
721,716206.1559984593,8
722,716291.7643982697,9
723,716380.5143907336,9
724,716473.9767721778,9
725,716558.7997738246,8
726,716656.9745442495,9
727,716770.0718797786,10
728,716861.9634648962,9
729,716968.7776151183,10
730,717081.8749506475,10
731,717211.465647608,11
732,717314.3528070132,11
733,717421.1669572353,10
734,717544.4744688886,11
735,717685.8461383,12
736,717828.7886040387,12
737,717922.2509854827,9
738,718028.2797375413,9
739,718134.3084896001,9
740,718221.4876857372,9
741,718323.5894469788,10
742,718442.1845696518,11
743,718569.4190721222,10
744,718713.146936024,11
745,718858.4455962523,11
746,719016.3106270953,11
747,719186.7420285525,11
748,719375.2375877678,12
749,719583.3681010682,13
750,719786.7862253881,13
751,719993.3459423616,13
752,720221.1114097469,14
753,720471.6534238708,15
754,720740.2595957526,14
755,720948.3901090531,13
756,721165.1600021507,12
757,721385.0714879018,12
758,721624.6179277382,13
759,721867.3059602279,13
760,722113.1355853714,13
761,722347.9696362271,13
762,722604.0094374948,14
763,722855.3368497819,14
764,723057.184177775,13
765,723280.2372561799,14
766,723526.0668813233,15
767,723683.9319121662,13
768,723848.0801283164,13
769,724033.434094878,14
770,724241.5646081782,15
771,724434.7725563742,14
772,724631.1220972235,14
773,724850.2481848114,15
774,725045.0269293338,14
775,725211.531339974,12
776,725368.6109726536,12
777,725545.3255594181,13
778,725743.2458965941,14
779,725938.8100392801,13
780,726108.456042574,12
781,726264.7502770899,11
782,726439.108669364,12
783,726633.1020157235,13
784,726823.1683712658,12
785,727022.6595047684,12
786,727193.0909062256,11
787,727381.586465441,12
788,727515.1041532187,10
789,727651.7634336499,10
790,727804.9160755123,11
791,727976.1328751331,12
792,728109.6505629105,12
793,728248.6660378318,11
794,728385.325318263,10
795,728474.8607088904,8
796,728577.7478682953,9
797,728688.4890093344,9
798,728814.152715478,10
799,728933.5332363143,10
800,729069.4071185822,11
801,729223.3451586079,12
802,729396.9181527188,13
803,729543.787609274,11
804,729708.7212235874,12
805,729880.7234213715,11
806,730043.3008411947,11
807,730223.9424187761,12
808,730358.2455047171,11
809,730485.4800071876,10
810,730609.5729170043,10
811,730728.9534378408,8
812,730861.6857274548,9
813,730939.4401456312,7
814,731028.9755362585,8
815,731131.8626956636,9
