"t","S, м²","N активних","T життя, с"
422,0.06410066380476451,15,1.5
423,0.06413537840358666,16,6.5
424,0.06416915052461275,16,11.5
425,0.06419852441592383,14,1
426,0.06422899786466364,14,10
427,0.06424863281874857,12,3
428,0.06427023126824201,13,8
429,0.0642939502927766,14,3
430,0.06431680537933147,13,10.5
431,0.06434178104092751,14,3.5
432,0.06436903435719739,15,0.5
433,0.06439455979750781,13,0.5
434,0.06442197019341041,13,11.5
435,0.0644504801467417,13,20
436,0.06447592704723577,12,5.5
437,0.06450333744313838,13,30.5
438,0.06453169031683702,13,13.5
439,0.06456216376557683,14,1.5
440,0.06459491486899051,15,18
441,0.06463010070671073,16,6
442,0.06466732857965576,16,1
443,0.06470714826654,17,15.5
444,0.06474673233397524,16,1
445,0.0647812898531647,16,6
446,0.06481482635474177,15,1.5
447,0.0648452998034816,14,6.5
448,0.06487805090689526,15,3.5
449,0.0649126869659011,15,8.5
450,0.06494402435262064,15,7
451,0.06497441926154415,15,14.5
452,0.06500724890477416,16,3.5
453,0.06504070686653489,16,8.5
454,0.06506866704115187,16,6.5
455,0.06509804093246291,16,13
456,0.06513000663771319,17,2
457,0.06515906636975889,16,7.5
458,0.06519071791574382,17,5.5
459,0.06522394025805552,17,0.5
460,0.0652568484411019,15,4
461,0.06529219135845478,16,7
462,0.06533012608974685,17,7.5
463,0.06536366259132394,17,0.5
464,0.06539743471235003,16,9
465,0.06542947895741663,16,18.5
466,0.06546136612285058,16,16.5
467,0.06549372452718254,16,6.5
468,0.065527339568576,16,7.5
469,0.06556174000813277,16,10.5
470,0.06559598336805689,16,29
471,0.06563281854192027,17,6.5
472,0.06566996787504893,17,16.5
473,0.06570986610174953,18,6
474,0.06574772229322527,18,1
475,0.06577984507810823,17,12
476,0.06580859065088855,16,4.5
477,0.06583749330330159,16,1.5
478,0.06586898776965383,17,4
479,0.06590323112957795,18,3.5
480,0.06593307625978706,16,1
481,0.06596135059366937,16,7
482,0.06598891806920464,15,8
483,0.06601648554473988,15,1.5
484,0.06604436717954047,15,4
485,0.06607122779672868,14,6.5
486,0.06609730301575349,12,8
487,0.06612534173018676,13,13.5
488,0.06615550101966125,14,25.5
489,0.06618793796380955,15,7.5
490,0.06621943243016179,15,8.5
491,0.06625336163082056,16,13
492,0.06628854746854078,16,11.5
493,0.06632632512020019,17,0.5
494,0.06636661604598247,17,17.5
495,0.0664073782106628,17,11.5
496,0.06645088926891501,18,6
497,0.06649730630037179,19,0.5
498,0.06653217797882667,16,3.5
499,0.06656053085252528,15,2
500,0.06659131846053047,16,21.5
501,0.06662469788247487,17,12.5
502,0.06665234389782645,16,12
503,0.0666818748687702,16,1
504,0.06671156291934663,16,18
505,0.0667370098198407,14,2
506,0.06676473437500864,15,13
507,0.06679214477091121,15,8.5
508,0.06682002640571183,15,2
509,0.06684963591647188,15,11
510,0.06688168016153852,16,3.5
511,0.06691631622054436,17,5.5
512,0.066952994314775,17,9.5
513,0.06699242130257757,18,5.5
514,0.06703043457368599,18,13.5
515,0.06706766244663102,18,5.5
516,0.06710779629278063,19,2.5
517,0.0671456524842564,18,17.5
518,0.06718272327756876,18,4.5
519,0.06722270004408569,19,2
520,0.06726573986343988,20,2.5
521,0.06731113587728424,20,19.5
522,0.06735794560782271,20,1
523,0.06740726861248407,20,1
524,0.06745486374118596,18,19
525,0.06750410820603098,17,2
526,0.06754644116703808,15,2.5
527,0.06758971660584129,15,0.5
528,0.06762600200099028,14,18
529,0.06765828186550589,13,8.5
530,0.0676926823050627,14,11
531,0.0677218991167411,12,4.5
532,0.06774891681356197,12,3.5
533,0.06777789800579133,13,4.5
534,0.06780899977306189,14,6
535,0.06784237919500628,15,4
536,0.06787819335125718,16,1
537,0.06791659932144734,17,0.5
538,0.06795712586667862,16,0.5
539,0.06799074090807204,14,9.5
