"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
452,0.020641139524508727,366,209,0.0000037737117260204067
453,0.02079040452321685,365,226,0.000003871302945609683
454,0.02094072388832878,366,581,0.000003871302945609683
455,0.02109210279404766,367,374,0.000003871302945609683
456,0.021244546428713724,368,539,0.000003871302945609683
457,0.021398059994804448,369,318,0.000003871302945609683
458,0.02155264870893438,370,212,0.000003970562350898016
459,0.021708317801855316,371,97,0.000003970562350898016
460,0.021865072518456215,372,639,0.000003970562350898016
461,0.022022918117763135,373,530,0.000003970562350898016
462,0.022181859872939375,374,106,0.000003970562350898016
463,0.022341903071285377,375,298,0.000003970562350898016
464,0.022503053014238696,376,460,0.000003970562350898016
465,0.022665315017374166,377,309,0.000003970562350898016
466,0.022827999693526828,377,229,0.000004071504079052344
467,0.022991802664352218,378,53,0.000004071504079052344
468,0.023156729273699498,379,297,0.000004071504079052344
469,0.023321620127795335,378,280,0.000004071504079052344
470,0.023487637221651776,379,388,0.000004174142267239613
471,0.023653996319494643,378,255,0.000004174142267239613
472,0.02382025384179303,378,195,0.000004174142267239613
473,0.02398596780180351,377,245,0.00000427849105262676
474,0.024150044006366764,374,68,0.00000427849105262676
475,0.024315234957173908,375,411,0.00000427849105262676
476,0.02448154595566244,376,277,0.00000427849105262676
477,0.02464742859563643,375,98,0.000004384564572380729
478,0.024813844600288633,374,145,0.000004492376963668459
479,0.024981381486715134,375,417,0.000004492376963668459
480,0.025148262203606633,372,560,0.000004492376963668459
481,0.025316260324529362,373,421,0.000004601942363656891
482,0.025485381122646558,374,56,0.000004601942363656891
483,0.02565562988525868,375,262,0.000004601942363656891
484,0.02582601443300311,374,111,0.0000047132749095129705
485,0.02599753050780853,375,296,0.0000047132749095129705
486,0.026170183411112533,376,170,0.0000047132749095129705
487,0.02634355254334909,375,384,0.0000047132749095129705
488,0.02651806422963688,376,454,0.0000047132749095129705
489,0.02669319019939018,374,497,0.0000047132749095129705
490,0.0268682502875893,373,314,0.000004826388738403633
491,0.027044455333158104,374,245,0.000004826388738403633
492,0.02722181062339689,375,289,0.000004826388738403633
493,0.027399533901734965,374,82,0.000004826388738403633
494,0.027578411354875463,375,352,0.000004826388738403633
495,0.027758448284255992,376,646,0.000004941297987495822
496,0.027938325065453278,375,558,0.000004941297987495822
497,0.028119363598974417,376,495,0.000004941297987495822
498,0.028301569200394255,377,207,0.000004941297987495822
499,0.028484947199424755,378,156,0.000004941297987495822
500,0.02866950293991494,379,486,0.00000505801679395648
501,0.028855241779851156,380,642,0.00000505801679395648
502,0.029042169091356797,381,127,0.000005176559294952545
503,0.029230290260692456,382,238,0.0000052969396276509625
504,0.029417929746119936,381,37,0.0000052969396276509625
505,0.029606766157142642,382,151,0.0000052969396276509625
506,0.029796804894158428,383,292,0.0000052969396276509625
507,0.02998805137170215,384,477,0.0000052969396276509625
508,0.030179779358795726,383,113,0.0000052969396276509625
509,0.03037272044440356,384,578,0.0000052969396276509625
