t,S′ [м²],N активних,T життя [с]
641,0.000410260584632,88,90
642,0.000398730939593,89,140
643,0.000404165894885,86,104
644,0.000409663682028,87,27
645,0.00041418757545,88,110
646,0.000413213681727,88,11
647,0.000411203062428,87,72
648,0.000411454389841,87,114
649,0.000416952176985,87,88
650,0.000422512795981,88,21
651,0.000423675185263,89,1
652,0.000425999963827,88,76
653,0.000431560582824,88,62
654,0.000429644211305,89,90
655,0.000412208372077,88,97
656,0.000410857487237,87,184
657,0.000416292442527,86,11
658,0.000403443328574,87,42
659,0.00040601943455,86,106
660,0.000411454389841,86,15
661,0.000401087134084,87,82
662,0.000406584921228,87,12
663,0.000412145540225,88,32
664,0.000414847309906,89,26
665,0.000414941557686,89,120
666,0.000420502176683,88,50
667,0.000425403061223,89,175
668,0.000431026512073,89,48
669,0.000436712794775,90,90
670,0.000422984034879,91,195
671,0.000412208372078,88,62
672,0.000417706159221,87,60
673,0.000422481380055,88,85
674,0.000410763239457,88,225
675,0.000416261026601,87,137
676,0.000421821645597,88,184
677,0.000419685362593,89,113
678,0.000414847309907,89,188
679,0.000416920761058,89,94
680,0.000400207488141,89,134
681,0.00040583093899,89,46
682,0.000406961912346,90,6
683,0.000412648195049,90,131
684,0.000418397309605,91,41
685,0.000408061469775,92,88
686,0.000405391116019,91,64
687,0.000410668991678,90,44
688,0.000393704391348,90,6
689,0.000397599966238,88,77
690,0.000388740674955,88,11
691,0.000394301293952,88,30
692,0.000393421648009,89,8
693,0.000389494657192,89,9
694,0.000381515011852,88,76
695,0.000373629614291,86,13
696,0.000379001737729,85,131
697,0.00038443669302,86,17
698,0.000389934480164,87,95
699,0.000384153949681,88,135
700,0.000388866338661,86,38
701,0.000393704391348,86,136
702,0.000385504834522,86,27
703,0.000386321648612,85,49
704,0.00039169377205,85,20
705,0.00039712872734,86,51
706,0.000383839790416,87,49
707,0.00037708536621,86,17
708,0.000372121649818,85,129
709,0.000364236252257,85,75
710,0.000369545543842,84,56
711,0.000374917667279,85,18
712,0.000363199526682,86,159
713,0.00035939819957,85,10
714,0.000341491121445,84,30
715,0.00034045439587,82,14
716,0.000345575191895,81,66
717,0.000350758819773,82,58
718,0.000318463247294,83,59
719,0.00032358404332,81,63
720,0.00032685129968,82,96
721,0.000332034927558,82,33
722,0.000326599972267,83,108
723,0.000329395989729,82,176
724,0.000331909263852,81,175
725,0.000323207052201,81,45
726,0.000311551743457,80,99
727,0.000289623426734,79,26
728,0.000290691568236,77,44
729,0.000295435373144,75,39
730,0.000291759709739,76,63
731,0.000270522543401,75,48
732,0.000264207942167,73,116
733,0.000268763251515,72,41
734,0.000273381392715,73,44
735,0.000278062365769,74,45
736,0.000264961924404,75,21
737,0.000267223871114,74,112
738,0.000271904844168,74,4
739,0.000268072101131,75,43
740,0.000272815906038,75,126
741,0.000277339799459,76,123
742,0.00027696280834,76,62
743,0.000274166790879,76,73
744,0.000278910595786,75,67
745,0.000283717232545,76,55
746,0.000282020772513,77,77
747,0.000286890241126,77,152
748,0.000291822541592,78,66
749,0.000292765019388,79,61
750,0.000297760151707,79,7
751,0.000293581833478,80,49
752,0.000296911921691,79,147
753,0.000299802186932,79,47
754,0.00029474422276,79,7
755,0.000296440682792,78,6
756,0.00029955085952,78,3
757,0.000299048204695,77,17
758,0.000298011479119,77,38
759,0.00030281811588,76,133
760,0.000306807938549,77,50
761,0.000304420328133,76,138
762,0.000309226964893,76,109
763,0.000314096433506,77,57
764,0.00031233714162,78,44
765,0.000308849973774,78,8
766,0.000313719442388,77,24
767,0.000316169884657,78,132
768,0.000321102185124,78,75
769,0.000318431831368,79,63
770,0.000323364131834,78,50
771,0.000325563246691,79,29
772,0.000308001743758,79,10
773,0.000309101301186,76,61
774,0.000310169442689,75,75
775,0.000314913247596,75,5
776,0.000315981389098,76,94
777,0.000317992008397,76,94
778,0.000319751300283,76,77
779,0.000321353512535,76,120
780,0.000326097317442,75,83
781,0.000310515017881,76,118
782,0.000315070327228,72,117
783,0.000305614133341,73,116
784,0.000302598204394,72,25
785,0.000307153513742,72,2
786,0.000298074310973,73,31
787,0.00030262962032,72,24
788,0.000307247761521,73,98
789,0.000303257938851,74,42
790,0.000307876080052,73,109
791,0.000312557053105,74,26
792,0.000279664578023,75,6
793,0.00028421988737,72,95
794,0.000288838028571,73,105
795,0.000291099975282,74,38
796,0.000279601746169,74,39
797,0.000283874312178,74,20
798,0.000288555285232,74,48
799,0.00028186369288,75,55
800,0.000286419002228,72,23
801,0.000291037143428,73,83
802,0.000295718116483,74,8
803,0.000296534930572,75,96
804,0.000301278735479,75,18
805,0.000306085372239,76,23
806,0.000310954840852,77,75
807,0.000299173868401,78,41
808,0.000281078294717,77,59
809,0.000278250861328,75,46
810,0.000277088472047,73,89
811,0.000273004401597,72,10
812,0.000277559710944,72,42
813,0.000261286260999,73,72
814,0.000265778738494,71,85
815,0.000259652632819,72,71
816,0.000259212809847,71,6
817,0.000263579623636,69,82
818,0.000268009269278,70,81
819,0.000252615465275,71,80
820,0.000256322544607,69,79
