"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
148,0.10870805032119071,53,42,0.00000579712201880699
149,0.10980935889332717,52,46.5,0.000006465397681087794
150,0.11094215152529024,53,42.5,0.000006465397681087794
151,0.11210277876633885,53,45.5,0.000006465397681087794
152,0.1132916187856888,54,51,0.000006465397681087794
153,0.11450580527274265,54,49.5,0.000006465397681087794
154,0.11569395846139863,51,80,0.000006465397681087794
155,0.11682732247052553,50,56,0.000006465397681087794
156,0.11790661829563741,50,49,0.000006465397681087794
157,0.11901591377804704,51,78,0.000006465397681087794
158,0.12013295642794043,51,41,0.000007183153427662637
159,0.1212806278390604,52,40,0.000007183153427662637
160,0.12245965607550457,53,88,0.000007183153427662637
161,0.12367078333853719,54,69.5,0.000007183153427662637
162,0.12491476596658961,55,68,0.000007952156404399163
163,0.12619237443526032,56,34,0.000007952156404399163
164,0.12750439335731434,57,127,0.000007952156404399163
165,0.12885017212854816,57,92,0.000007952156404399163
166,0.13012581022957637,55,30,0.000007952156404399163
167,0.13125618363884664,52,66.5,0.000007952156404399163
168,0.1323756054561265,51,58.5,0.000007952156404399163
169,0.13351816628139726,52,38.5,0.000007952156404399163
170,0.1346811903612911,51,64,0.000007952156404399163
171,0.1358594772800437,51,76.5,0.000007952156404399163
172,0.13705839739394693,51,38.5,0.000007952156404399163
173,0.1382868485769687,52,38,0.000007952156404399163
174,0.1395470807003228,53,61.5,0.000008774173757165017
175,0.1408398359652736,54,82,0.000008774173757165017
176,0.14033101340892207,58,83,0.000008774173757165017
177,0.14189529711597137,59,55.5,0.000008774173757165017
178,0.14332238609739154,58,67,0.000009650972631827845
179,0.14478627471340816,59,18.5,0.000009650972631827845
180,0.14607267060942994,58,72,0.000009650972631827845
181,0.1473536675803018,57,54.5,0.000009650972631827845
182,0.1486593748463652,58,5,0.000009650972631827845
183,0.15000043975599703,59,41,0.000009650972631827845
184,0.15130818984268354,58,52,0.000010584320174255287
185,0.1526500390705563,58,42,0.000010584320174255287
186,0.15402663774929484,59,41,0.000010584320174255287
187,0.15543101949536434,58,48.5,0.000010584320174255287
188,0.15686343877777004,59,26,0.000010584320174255287
189,0.15833320197569925,60,24,0.000010584320174255287
190,0.1598411502505853,61,109.5,0.000010584320174255287
191,0.1613876915185991,61,79,0.000010584320174255287
192,0.16297357151529676,62,11,0.00001157598353031499
193,0.16458699778177932,62,22,0.00001157598353031499
194,0.166178548255042,61,23.5,0.00001157598353031499
195,0.16774767570891444,62,46.5,0.00001157598353031499
196,0.16931963295236963,59,70,0.000012627729845874598
197,0.17088463205897092,57,40.5,0.000012627729845874598
198,0.17240044943440552,55,98,0.000012627729845874598
199,0.1707272058693519,51,1,0.000012627729845874598
200,0.1720621396663959,54,28,0.000012627729845874598
201,0.17318535024441606,51,27,0.000013741326266801756
202,0.1743317616805324,52,94.5,0.000013741326266801756
203,0.16962551912799964,48,23,0.000013741326266801756
204,0.1706469423985677,52,51.5,0.000013741326266801756
