"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
292,0.18249526961427492,39,4.5,0.00001157598353031499
293,0.18277715853807103,38,50,0.00001157598353031499
294,0.1830672258129425,38,50.5,0.00001157598353031499
295,0.18332329261227195,37,19,0.00001157598353031499
296,0.18359250049732181,38,12.5,0.000012627729845874598
297,0.1838679655513647,37,3,0.000012627729845874598
298,0.18414793682737002,37,19.5,0.000012627729845874598
299,0.18441171545126583,37,47.5,0.000012627729845874598
300,0.18468878153946486,37,1,0.000012627729845874598
301,0.18495333181705625,34,45.5,0.000012627729845874598
302,0.18518681802648887,33,89,0.000012627729845874598
303,0.18541446028453726,34,3,0.000013741326266801756
304,0.18565396421469793,35,17.5,0.000013741326266801756
305,0.185903906970023,35,1,0.000013741326266801756
306,0.18616169496942753,32,30,0.000013741326266801756
307,0.18642917517486748,33,59,0.000013741326266801756
308,0.18670949958552208,34,40.5,0.000013741326266801756
309,0.18698859317907984,32,4,0.000013741326266801756
310,0.18726580947467758,31,35,0.000014918539938964106
311,0.18754791723003686,31,21.5,0.000014918539938964106
312,0.1878390624638877,32,26,0.000014918539938964106
313,0.18814275472792308,32,9.5,0.000014918539938964106
314,0.1884358968366043,31,25.5,0.000014918539938964106
315,0.18870425943688088,31,46,0.000014918539938964106
316,0.18898450491501997,32,20,0.000014918539938964106
317,0.18927362706137663,32,28,0.000014918539938964106
318,0.18956168479687238,31,36.5,0.000016161138008229292
319,0.18985453355933957,32,44.5,0.000016161138008229292
320,0.19012747719075368,31,71.5,0.000016161138008229292
321,0.19037956143234605,32,47,0.000016161138008229292
322,0.1905919974002033,31,31,0.000016161138008229292
323,0.19081408198449792,31,22,0.000016161138008229292
324,0.19097881856204715,30,35.5,0.000017470887620464963
325,0.19115285798449222,31,3,0.000017470887620464963
326,0.19133663143542498,32,5.5,0.000017470887620464963
327,0.19153058423560398,33,87,0.000017470887620464963
328,0.19171719631184875,32,3,0.000017470887620464963
329,0.19189614250931977,33,39.5,0.000017470887620464963
330,0.19207929127418819,33,44,0.000017470887620464963
331,0.19225906626307113,32,41.5,0.000017470887620464963
332,0.1924413128999742,32,54.5,0.000017470887620464963
333,0.19263065639468177,32,74.5,0.000018849555921538758
334,0.19283065990231155,33,79.5,0.000018849555921538758
335,0.19304178288078924,34,21.5,0.000018849555921538758
336,0.19325981539960937,33,70.5,0.000018849555921538758
337,0.1934847009101042,34,5.5,0.000018849555921538758
338,0.1937189843968475,34,36,0.000018849555921538758
339,0.19394067343499208,34,5.5,0.000018849555921538758
340,0.1941469756395428,34,78,0.000018849555921538758
341,0.1943647012640306,35,53,0.000020298910057318324
342,0.19459433804071488,36,21.5,0.000020298910057318324
343,0.1948272083998127,35,29,0.000020298910057318324
344,0.19506345430204197,36,42,0.000020298910057318324
345,0.19528472217042145,32,46.5,0.000020298910057318324
346,0.1954960192127671,32,27.5,0.000020298910057318324
347,0.1956524219304045,30,48,0.000020298910057318324
348,0.19581785888676603,31,0.5,0.000020298910057318324
349,0.1959808707299483,30,13,0.000021820717173671305
350,0.19615318541802665,31,23.5,0.000021820717173671305
351,0.19633523413459256,32,7.5,0.000021820717173671305
352,0.1965274622004047,33,48.5,0.000021820717173671305
353,0.1966922408949305,32,15.5,0.000021820717173671305
354,0.1968633480333326,33,59.5,0.000021820717173671305
355,0.19703490756107675,33,40,0.000021820717173671305
356,0.1972165404093151,34,60.5,0.000021820717173671305
357,0.19740529838969192,34,36,0.000021820717173671305
358,0.19760477293165868,35,17,0.000021820717173671305
359,0.19781499878908412,35,17.5,0.000021820717173671305
360,0.19802764917063997,35,35,0.000023416744416465347
361,0.1982443112678398,35,75.5,0.000023416744416465347
362,0.198464371586543,35,11,0.000023416744416465347
363,0.1986955846573413,36,37.5,0.000023416744416465347
364,0.19892129071256734,35,131,0.000023416744416465347
365,0.1991587806854875,36,29,0.000023416744416465347
366,0.19939614901986707,36,39,0.000023416744416465347
367,0.19963327908407888,37,26,0.000023416744416465347
368,0.19987499518634144,37,49,0.000023416744416465347
369,0.2001082015976784,36,44.5,0.000023416744416465347
370,0.20035346760146477,37,21,0.00002508875893156809
371,0.2006113092042939,38,3,0.00002508875893156809
372,0.20087923266882238,38,41.5,0.00002508875893156809
373,0.20114455077129328,37,30.5,0.00002508875893156809
374,0.20140125757195107,33,49.5,0.00002508875893156809
375,0.20158509670180524,32,43,0.00002508875893156809
376,0.20177833557505365,33,23.5,0.00002683852786484718
377,0.20198013450288496,33,57,0.00002683852786484718
378,0.20219299635289634,34,16,0.00002683852786484718
379,0.20241739472018036,35,0.5,0.00002683852786484718
380,0.20265380967936442,35,27.5,0.00002683852786484718
381,0.20290272955175648,36,4.5,0.00002683852786484718
382,0.203164656206783,37,60.5,0.000028667818362170258
383,0.2034401056510374,38,12.5,0.000028667818362170258
384,0.20372960802827986,39,21,0.000028667818362170258
385,0.20403370761943776,40,21.5,0.000028667818362170258
386,0.20434647653369792,39,3.5,0.000028667818362170258
387,0.2046467514321496,39,4,0.000028667818362170258
388,0.2049618497391877,40,34.5,0.000028667818362170258
389,0.20529232987290638,41,2.5,0.000028667818362170258
390,0.20563865070218265,41,26,0.000028667818362170258
391,0.20597163635421736,39,20.5,0.000028667818362170258
392,0.20623832016591956,37,56.5,0.000028667818362170258
393,0.20651216798696928,36,10.5,0.000028667818362170258
394,0.20677905943831093,34,3,0.00003057839756940498
395,0.20702696526349934,32,16.5,0.00003057839756940498
396,0.20726748530253383,32,31,0.00003057839756940498
397,0.20751995684359553,32,2,0.00003057839756940498
398,0.20778480046740094,33,2,0.00003057839756940498
399,0.208062484467605,33,46,0.00003057839756940498
400,0.20834936410585558,32,45,0.00003057839756940498
401,0.2086224414513069,31,3,0.00003057839756940498
402,0.208908122670135,32,26.5,0.00003057839756940498
403,0.20920685308309833,33,51.5,0.00003057839756940498
404,0.2095114053581226,31,47,0.00003057839756940498
405,0.20982221480213997,30,17,0.000032572032632418976
406,0.21013910322794196,31,6,0.000032572032632418976
407,0.21043027555802932,30,25,0.000032572032632418976
408,0.21068859959168046,29,12,0.000032572032632418976
409,0.2109583399766851,30,10.5,0.000032572032632418976
410,0.21123991375946807,31,19,0.000032572032632418976
411,0.2115337521236212,32,20,0.000032572032632418976
412,0.21183500101397026,30,34,0.000032572032632418976
413,0.2121486590971262,31,16,0.000032572032632418976
414,0.2123508983388029,27,37,0.000032572032632418976
415,0.21253546818347333,28,53,0.0000346504906970799
416,0.21272691958867665,28,83,0.0000346504906970799
417,0.212890497213061,27,49,0.0000346504906970799
418,0.21302560228870152,26,92.5,0.0000346504906970799
419,0.21313972604145556,27,66,0.0000346504906970799
420,0.21325968108104848,26,9,0.0000346504906970799
421,0.21338641518671408,27,24,0.0000346504906970799
422,0.21351973927384435,27,12.5,0.0000346504906970799
423,0.21365119519326822,27,18.5,0.00003681553890925539
424,0.21377264906708116,27,23.5,0.00003681553890925539
425,0.21390144778816877,28,21,0.00003681553890925539
426,0.21403798012862177,29,7.5,0.00003681553890925539
427,0.21417919746729422,29,36,0.00003681553890925539
428,0.21432518109289597,30,4.5,0.000039068944414813097
429,0.21447199085919086,27,18.5,0.000039068944414813097
430,0.21462433503181894,28,30,0.000039068944414813097
431,0.21478354309352124,28,16,0.000039068944414813097
432,0.21494754542196245,28,24.5,0.000039068944414813097
433,0.21511767415060246,28,35,0.000039068944414813097
434,0.21528455987205108,27,13.5,0.000039068944414813097
435,0.2154471316959124,27,2.5,0.000039068944414813097
436,0.21561816520323665,28,1.5,0.000039068944414813097
437,0.21575722043894005,28,30.5,0.000039068944414813097
438,0.21590435447650166,27,6.5,0.00004141247435962065
439,0.21605997847185995,28,18,0.00004141247435962065
440,0.21622448119710605,29,41.5,0.00004141247435962065
441,0.21639826556149763,30,19.5,0.00004141247435962065
442,0.21657919626377795,30,52.5,0.00004141247435962065
443,0.2167436783723223,30,38,0.00004141247435962065
444,0.21691757642309792,31,74,0.00004141247435962065
445,0.21708409929059505,28,38.5,0.00004141247435962065
446,0.21723695063408713,27,33,0.00004141247435962065
447,0.21739147163589978,27,12.5,0.00004141247435962065
448,0.21754541154124635,25,2.5,0.00004141247435962065
449,0.21768425295229973,25,88,0.00004141247435962065
450,0.21783050989646235,26,19,0.00004141247435962065
451,0.21797168394006103,24,62,0.00004384789588954572
452,0.21810725966555103,25,9.5,0.00004384789588954572
453,0.21825008127814693,26,3.5,0.00004384789588954572
454,0.21840050927560586,27,36.5,0.00004384789588954572
455,0.21853980425409855,27,20.5,0.00004384789588954572
456,0.21868672682320472,28,28.5,0.00004384789588954572
457,0.21883595640124107,26,29,0.00004384789588954572
458,0.21899180600222187,27,23,0.00004637697615045592
459,0.2191557638574921,28,51,0.00004637697615045592
460,0.21932378938802527,27,49.5,0.00004637697615045592
461,0.2194941366537043,27,34.5,0.00004637697615045592
462,0.2196721533324488,27,21,0.00004637697615045592
463,0.21985414284962823,27,0.5,0.00004637697615045592
464,0.2200400975476103,27,9.5,0.00004637697615045592
465,0.22023490976972956,28,5.5,0.00004637697615045592
466,0.2204303955689487,28,28.5,0.00004637697615045592
467,0.22062643124505704,29,32.5,0.00004900148228821892
468,0.22081061231763655,27,24,0.00004900148228821892
469,0.22098744707031995,27,6.5,0.00004900148228821892
470,0.22117121816505822,28,12.5,0.00004900148228821892
471,0.2213633019139579,28,2.5,0.00004900148228821892
472,0.2215642643927451,29,14,0.00004900148228821892
473,0.22177450851067793,30,37.5,0.00005172318144870235
474,0.2219936796604855,29,26,0.00005172318144870235
475,0.22222278275911772,30,8,0.00005172318144870235
476,0.22245877006900175,29,32,0.00005172318144870235
477,0.22270512757988573,30,35.5,0.00005172318144870235
478,0.2229622723381945,31,22.5,0.00005454384077777386
479,0.2232267280734819,31,38.5,0.00005454384077777386
480,0.22349858314304147,32,4.5,0.00005454384077777386
481,0.22377499214750202,31,3,0.00005454384077777386
482,0.22404328406194382,31,23,0.00005454384077777386
483,0.2243196070653055,29,14.5,0.0000574652274213011
484,0.2245942998766042,28,16.5,0.0000574652274213011
485,0.2248580334382804,26,21,0.0000574652274213011
486,0.2251124167366466,25,30,0.0000574652274213011
487,0.22537263338352184,26,26.5,0.0000574652274213011
488,0.225642633538969,27,22.5,0.0000574652274213011
489,0.22592279183791208,28,32.5,0.0000574652274213011
490,0.2262134970524418,29,13,0.0000574652274213011
491,0.22650547461199624,29,15.5,0.0000574652274213011
492,0.22680621044099505,29,26.5,0.0000574652274213011
493,0.22711586004827458,30,24.5,0.0000604891085251517
494,0.2274368341153226,31,24,0.0000604891085251517
495,0.22768287854686364,29,11.5,0.0000604891085251517
496,0.2278690111375297,29,4,0.0000604891085251517
497,0.22806422744700403,30,25.5,0.0000636172512351933
498,0.22826735350138203,30,52,0.0000636172512351933
499,0.22845569767510135,30,20,0.0000636172512351933
500,0.22861860643477483,28,31.5,0.0000636172512351933
501,0.228781821499732,27,9,0.0000636172512351933
502,0.2289533427393157,28,17.5,0.0000636172512351933
503,0.22913293836289308,28,49,0.0000636172512351933
504,0.22932086637376065,29,44,0.0000636172512351933
505,0.22951619371890036,29,16,0.0000636172512351933
506,0.2297174904827809,29,42,0.00006685142269729358
507,0.22992394466187624,28,43.5,0.00006685142269729358
508,0.2301362377854425,28,49.5,0.00006685142269729358
509,0.23035442640214765,29,26,0.00006685142269729358
510,0.230555218645883,27,20,0.00006685142269729358
511,0.2306802551134184,25,18,0.00006685142269729358
512,0.2308121840388861,26,39.5,0.00006685142269729358
513,0.23092850877181834,25,30,0.00006685142269729358
514,0.23103243138052706,25,76.5,0.00006685142269729358
515,0.23114255372598813,26,13.5,0.00006685142269729358
516,0.23125600213449643,26,27,0.00006685142269729358
517,0.2313728260861361,27,36,0.00006685142269729358
518,0.23145979469739072,24,7.5,0.00006685142269729358
519,0.23152389202325327,23,27,0.00007019339005732014
520,0.23158893624477658,23,17,0.00007019339005732014
521,0.23165773417864713,23,34.5,0.00007019339005732014
522,0.23172274305725304,23,41.5,0.00007019339005732014
523,0.23178761763277306,23,4.5,0.00007019339005732014
