"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
275,0.003323296950284524,270,340,0.000025779237014530135
276,0.0033710952654182726,271,643,0.000025779237014530135
277,0.003419418948306081,272,371,0.000026482268901735773
278,0.003468271844257359,273,506,0.000026482268901735773
279,0.0035176578127186857,274,41,0.0000271979676905207
280,0.003567580727273792,275,212,0.00002756060251592274
281,0.0036180444756435987,276,514,0.00002756060251592274
282,0.003669052959686175,277,325,0.00002829551371458068
283,0.003720610095396767,278,493,0.00002829551371458068
284,0.00377271981290778,279,124,0.00002829551371458068
285,0.0038253860564887946,280,301,0.00002829551371458068
286,0.0038786127845465528,281,381,0.000028667818362170474
287,0.003932403969624963,282,448,0.000028667818362170474
288,0.003986763598405104,283,597,0.00002904337455815673
289,0.004041695671705222,284,305,0.00002942219643970639
290,0.004097204204480729,285,636,0.000030189693808163697
291,0.004153293225824198,286,334,0.000030578397569405224
292,0.00420996677896538,287,562,0.000030578397569405224
293,0.004266438790298452,286,409,0.000030578397569405224
294,0.004323497001614938,287,519,0.00003097042356487793
295,0.00438114547028174,288,211,0.00003097042356487793
296,0.004439388267802947,289,540,0.00003097042356487793
297,0.0044982294798197936,290,845,0.00003136578593174874
298,0.0045576732061107066,291,303,0.00003216657632835247
299,0.004617723560591259,292,495,0.00003216657632835247
300,0.004678384671314194,293,167,0.00003257203263241927
301,0.004739660680469432,294,189,0.00003298088185655194
302,0.004801555744384047,295,455,0.000033393138137917436
303,0.004864074033522295,296,639,0.00003380881561368268
304,0.004927219732485581,297,564,0.00003380881561368268
305,0.00499099704001249,298,338,0.00003380881561368268
306,0.005055410168978784,299,309,0.00003422792842101464
307,0.005120463346397352,300,112,0.00003465049069708023
308,0.005186160813418301,301,199,0.00003465049069708023
309,0.005252506825328863,302,111,0.000035076516579046406
310,0.005319505651553469,303,364,0.000035076516579046406
311,0.005387161575653687,304,443,0.0000355060202040801
312,0.005455478895328275,305,177,0.0000355060202040801
313,0.005524461922413155,306,180,0.00003593901570934827
314,0.005594114982881403,307,577,0.00003593901570934827
315,0.005664442416843266,308,143,0.00003593901570934827
