"t","S [м²]","N активних","T життя [с]"
583,0.558506844168049,10,14.5
584,0.558850848563617,7,21.5
585,0.5581659813651345,7,2
586,0.5585249083258071,8,4.5
587,0.5573366009045867,8,38.5
588,0.5577834924595599,9,7.5
589,0.5582869326822978,10,5.5
590,0.5588532047581074,11,7
591,0.5593440786102306,10,2.5
592,0.5598977843154258,11,1
593,0.5603957267510199,9,24
594,0.5608112023794571,9,18
595,0.5612455275638158,9,4
596,0.5616861359334818,9,7
597,0.562160516424174,9,20.5
598,0.5625759920526111,9,17.5
599,0.5630346645800353,9,29.5
600,0.563538104802773,10,3
601,0.5641043768785825,11,14
602,0.564739763992771,12,11.5
603,0.5654175626077832,11,2
604,0.5661346311309651,12,10.5
605,0.5669200292943625,12,4.5
606,0.5676370978175442,12,1
607,0.5684256375735954,12,13.5
608,0.5692872193588424,13,9
609,0.5702304825530827,14,0.5
610,0.5712240112297806,13,6
611,0.5722992213154716,14,17.5
612,0.5734050619295352,14,10.5
613,0.5745431038682981,15,22
614,0.5756999953629826,15,35.5
615,0.572058889477472,14,12.5
616,0.573108181423771,13,4
617,0.5686926729491509,11,21
618,0.5692526618396532,11,2
619,0.5698817657685346,12,5.5
620,0.5705658475688538,11,11
621,0.5712138010536567,11,4
622,0.5719308695768385,12,8
623,0.5726542212853277,12,16
624,0.5734529712175028,13,11.5
625,0.5742823516780506,12,8
626,0.5749303051628535,12,8.5
627,0.5756536568713425,13,13.5
628,0.5763770085798315,13,3
629,0.5768804488025693,12,1.5
630,0.5774333691096012,12,4.5
631,0.5779792208331623,10,7.5
632,0.5785454929089718,11,2
633,0.576420990876982,11,10.5
634,0.5770681589636214,11,10
635,0.5604177178995959,9,4.5
636,0.5608834590104905,9,3
637,0.56140574878915,10,5
638,0.561924111576992,10,2.5
639,0.5623285916311418,8,4.5
640,0.5626938017771216,8,1
641,0.5629985362645198,6,2.5
642,0.5633221203078395,6,13.5
643,0.5636684808978979,7,11
644,0.5639072419395708,4,4
645,0.5641405051940998,5,1
646,0.5644012573843477,5,10
647,0.5646910693066413,6,4.5
648,0.5650052285720003,6,10
649,0.5653453059767514,7,21
650,0.5655031710075942,7,4
651,0.5657050183355873,8,3
652,0.5659257152195021,8,5.5
653,0.5661966775858741,9,13
654,0.5664652837577562,7,5.5
655,0.5667236797535139,8,11
656,0.5669121753127292,7,5
657,0.5671140226407223,8,12.5
658,0.5672962350146304,7,11
659,0.5674917991573165,8,3
660,0.5676999296706167,8,3.5
661,0.5679418323049432,8,11
662,0.5682088676804983,8,13.5
663,0.5685175291587136,9,6.5
664,0.5688576065634645,9,1.5
665,0.5692542326359803,10,1
666,0.5686581154299615,7,9.5
667,0.5689919096494055,8,8.5
668,0.5693759693513069,9,7
669,0.56978123480362,9,6.5
670,0.5700168542526391,7,28
671,0.5702312679512467,8,11
672,0.56291764025369,8,11
673,0.5631634698788333,9,11
674,0.5634658481717413,10,3.5
675,0.5638082817709826,10,5
676,0.5639410140605968,7,1.5
